cwe,Accuracy,Precision,Recall,F1Score,AUC,AvgConfidence
CWE-119,0.5,0.5,1.0,0.6666666666666666,1.0,0.8500000000000001
CWE-125,0.45,0.3333333333333333,0.1,0.1538461538461538,0.485,0.85
CWE-190,0.75,1.0,0.5,0.6666666666666666,0.625,0.8666666666666668
CWE-20,0.5,0.0,0.0,0.0,0.5,0.8
CWE-269,0.5,0.5,1.0,0.6666666666666666,0.5,0.9
CWE-276,0.5,0.5,1.0,0.6666666666666666,0.25,0.875
CWE-362,0.75,0.6666666666666666,1.0,0.8,0.625,0.8500000000000001
CWE-416,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.3163265306122449,0.8428571428571431
CWE-476,0.3888888888888889,0.4090909090909091,0.5,0.45,0.3919753086419753,0.8472222222222223
CWE-787,0.5769230769230769,0.55,0.8461538461538461,0.6666666666666666,0.5828402366863905,0.8769230769230768
CWE-862,0.5,0.0,0.0,0.0,1.0,0.8500000000000001
