true_cwe,TruePositiveRate,TrueNegativeRate,FalsePositiveRate,FalseNegativeRate
CWE-119,0.5384615384615384,0.5384615384615384,0.4615384615384615,0.4615384615384615
CWE-125,0.4871794871794871,0.5641025641025641,0.4358974358974359,0.5128205128205128
CWE-190,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.7777777777777778
CWE-20,0.4,0.4545454545454545,0.5454545454545454,0.6
CWE-22,0.5,0.4,0.6,0.5
CWE-269,1.0,0.75,0.25,0.0
CWE-276,0.5,0.5,0.5,0.5
CWE-362,0.75,0.5,0.5,0.25
CWE-416,0.2631578947368421,0.5789473684210527,0.4210526315789473,0.7368421052631579
CWE-434,0.0,1.0,0.0,0.0
CWE-476,0.5,0.6176470588235294,0.3823529411764705,0.5
CWE-787,0.6140350877192983,0.4912280701754385,0.5087719298245614,0.3859649122807017
CWE-79,0.0,1.0,0.0,1.0
CWE-862,1.0,0.0,1.0,0.0
CWE-863,0.0,0.0,1.0,1.0
CWE-94,0.0,1.0,0.0,1.0
