cwe,TruePositive,TrueNegative,FalsePositive,FalseNegative
CWE-119,1.0,0.0,1.0,0.0
CWE-120,1.0,0.0,1.0,0.0
CWE-125,2.0,0.0,3.0,1.0
CWE-134,1.0,0.0,1.0,0.0
CWE-190,3.0,3.0,3.0,3.0
CWE-200,0.0,1.0,0.0,1.0
CWE-276,1.0,0.0,1.0,0.0
CWE-295,1.0,0.0,1.0,0.0
CWE-354,1.0,1.0,0.0,0.0
CWE-362,1.0,0.0,1.0,0.0
CWE-369,1.0,0.0,3.0,2.0
CWE-401,1.0,1.0,1.0,1.0
CWE-415,3.0,0.0,3.0,0.0
CWE-416,0.0,1.0,0.0,1.0
CWE-476,9.0,7.0,6.0,4.0
CWE-617,3.0,4.0,2.0,3.0
CWE-703,5.0,1.0,5.0,1.0
CWE-754,0.0,1.0,0.0,1.0
CWE-787,2.0,1.0,3.0,2.0
CWE-843,2.0,0.0,3.0,1.0
CWE-862,0.0,1.0,0.0,1.0
CWE-908,0.0,1.0,0.0,1.0
CWE-909,1.0,1.0,0.0,0.0
