true_cwe,Metric,Score
CWE-119,Accuracy,0.6923076923076923
CWE-125,Accuracy,0.48717948717948717
CWE-190,Accuracy,0.6111111111111112
CWE-20,Accuracy,0.36363636363636365
CWE-22,Accuracy,0.18181818181818182
CWE-269,Accuracy,0.375
CWE-276,Accuracy,0.25
CWE-362,Accuracy,0.5625
CWE-416,Accuracy,0.6052631578947368
CWE-434,Accuracy,1.0
CWE-476,Accuracy,0.5441176470588235
CWE-787,Accuracy,0.5526315789473685
CWE-79,Accuracy,0.75
CWE-862,Accuracy,1.0
CWE-863,Accuracy,0.0
CWE-94,Accuracy,0.0
CWE-119,Precision,0.6470588235294118
CWE-125,Precision,0.4864864864864865
CWE-190,Precision,0.6666666666666666
CWE-20,Precision,0.38461538461538464
CWE-22,Precision,0.2
CWE-269,Precision,0.4
CWE-276,Precision,0.3333333333333333
CWE-362,Precision,0.5555555555555556
CWE-416,Precision,0.5909090909090909
CWE-434,Precision,0.0
CWE-476,Precision,0.5483870967741935
CWE-787,Precision,0.5555555555555556
CWE-79,Precision,1.0
CWE-862,Precision,1.0
CWE-863,Precision,0.0
CWE-94,Precision,0.0
CWE-119,Recall,0.8461538461538461
CWE-125,Recall,0.46153846153846156
CWE-190,Recall,0.4444444444444444
CWE-20,Recall,0.45454545454545453
CWE-22,Recall,0.16666666666666666
CWE-269,Recall,0.5
CWE-276,Recall,0.5
CWE-362,Recall,0.625
CWE-416,Recall,0.6842105263157895
CWE-434,Recall,0.0
CWE-476,Recall,0.5
CWE-787,Recall,0.5263157894736842
CWE-79,Recall,0.5
CWE-862,Recall,1.0
CWE-863,Recall,0.0
CWE-94,Recall,0.0
CWE-119,F1 Score,0.7333333333333333
CWE-125,F1 Score,0.47368421052631576
CWE-190,F1 Score,0.5333333333333333
CWE-20,F1 Score,0.4166666666666667
CWE-22,F1 Score,0.18181818181818182
CWE-269,F1 Score,0.4444444444444444
CWE-276,F1 Score,0.4
CWE-362,F1 Score,0.5882352941176471
CWE-416,F1 Score,0.6341463414634146
CWE-434,F1 Score,0.0
CWE-476,F1 Score,0.5230769230769231
CWE-787,F1 Score,0.5405405405405406
CWE-79,F1 Score,0.6666666666666666
CWE-862,F1 Score,1.0
CWE-863,F1 Score,0.0
CWE-94,F1 Score,0.0
CWE-119,AUC,0.6775147928994083
CWE-125,AUC,0.4855358316896778
CWE-190,AUC,0.6049382716049383
CWE-20,AUC,0.3471074380165289
CWE-22,AUC,0.15
CWE-269,AUC,0.3125
CWE-276,AUC,0.375
CWE-362,AUC,0.5
CWE-416,AUC,0.5706371191135735
CWE-434,AUC,
CWE-476,AUC,0.5216262975778546
CWE-787,AUC,0.5095413973530316
CWE-79,AUC,0.625
CWE-862,AUC,1.0
CWE-863,AUC,0.0
CWE-94,AUC,0.0
CWE-119,Avg Confidence,9.711538461538462
CWE-125,Avg Confidence,9.65128205128205
CWE-190,Avg Confidence,9.86111111111111
CWE-20,Avg Confidence,9.840909090909092
CWE-22,Avg Confidence,9.636363636363637
CWE-269,Avg Confidence,9.6875
CWE-276,Avg Confidence,9.875
CWE-362,Avg Confidence,9.59375
CWE-416,Avg Confidence,9.671052631578947
CWE-434,Avg Confidence,10.0
CWE-476,Avg Confidence,9.666176470588235
CWE-787,Avg Confidence,9.642105263157895
CWE-79,Avg Confidence,9.875
CWE-862,Avg Confidence,9.5
CWE-863,Avg Confidence,10.0
CWE-94,Avg Confidence,9.5
