true_cwe,Metric,Rate
CWE-119,True Positive Rate,0.5384615384615384
CWE-125,True Positive Rate,0.48717948717948717
CWE-190,True Positive Rate,0.2222222222222222
CWE-20,True Positive Rate,0.4
CWE-22,True Positive Rate,0.5
CWE-269,True Positive Rate,1.0
CWE-276,True Positive Rate,0.5
CWE-362,True Positive Rate,0.75
CWE-416,True Positive Rate,0.2631578947368421
CWE-434,True Positive Rate,0.0
CWE-476,True Positive Rate,0.5
CWE-787,True Positive Rate,0.6140350877192983
CWE-79,True Positive Rate,0.0
CWE-862,True Positive Rate,1.0
CWE-863,True Positive Rate,0.0
CWE-94,True Positive Rate,0.0
CWE-119,True Negative Rate,0.5384615384615384
CWE-125,True Negative Rate,0.5641025641025641
CWE-190,True Negative Rate,0.4444444444444444
CWE-20,True Negative Rate,0.45454545454545453
CWE-22,True Negative Rate,0.4
CWE-269,True Negative Rate,0.75
CWE-276,True Negative Rate,0.5
CWE-362,True Negative Rate,0.5
CWE-416,True Negative Rate,0.5789473684210527
CWE-434,True Negative Rate,1.0
CWE-476,True Negative Rate,0.6176470588235294
CWE-787,True Negative Rate,0.49122807017543857
CWE-79,True Negative Rate,1.0
CWE-862,True Negative Rate,0.0
CWE-863,True Negative Rate,0.0
CWE-94,True Negative Rate,1.0
CWE-119,False Positive Rate,0.46153846153846156
CWE-125,False Positive Rate,0.4358974358974359
CWE-190,False Positive Rate,0.5555555555555556
CWE-20,False Positive Rate,0.5454545454545454
CWE-22,False Positive Rate,0.6
CWE-269,False Positive Rate,0.25
CWE-276,False Positive Rate,0.5
CWE-362,False Positive Rate,0.5
CWE-416,False Positive Rate,0.42105263157894735
CWE-434,False Positive Rate,0.0
CWE-476,False Positive Rate,0.38235294117647056
CWE-787,False Positive Rate,0.5087719298245614
CWE-79,False Positive Rate,0.0
CWE-862,False Positive Rate,1.0
CWE-863,False Positive Rate,1.0
CWE-94,False Positive Rate,0.0
CWE-119,False Negative Rate,0.46153846153846156
CWE-125,False Negative Rate,0.5128205128205128
CWE-190,False Negative Rate,0.7777777777777778
CWE-20,False Negative Rate,0.6
CWE-22,False Negative Rate,0.5
CWE-269,False Negative Rate,0.0
CWE-276,False Negative Rate,0.5
CWE-362,False Negative Rate,0.25
CWE-416,False Negative Rate,0.7368421052631579
CWE-434,False Negative Rate,0.0
CWE-476,False Negative Rate,0.5
CWE-787,False Negative Rate,0.38596491228070173
CWE-79,False Negative Rate,1.0
CWE-862,False Negative Rate,0.0
CWE-863,False Negative Rate,1.0
CWE-94,False Negative Rate,1.0
