cwe,Metric,Rate
CWE-119,True Positive Rate,1.0
CWE-125,True Positive Rate,0.1
CWE-190,True Positive Rate,0.5
CWE-20,True Positive Rate,0.0
CWE-269,True Positive Rate,1.0
CWE-276,True Positive Rate,1.0
CWE-362,True Positive Rate,1.0
CWE-416,True Positive Rate,0.42857142857142855
CWE-476,True Positive Rate,0.5
CWE-787,True Positive Rate,0.8461538461538461
CWE-862,True Positive Rate,0.0
CWE-119,True Negative Rate,0.0
CWE-125,True Negative Rate,0.8
CWE-190,True Negative Rate,1.0
CWE-20,True Negative Rate,1.0
CWE-269,True Negative Rate,0.0
CWE-276,True Negative Rate,0.0
CWE-362,True Negative Rate,0.5
CWE-416,True Negative Rate,0.42857142857142855
CWE-476,True Negative Rate,0.2777777777777778
CWE-787,True Negative Rate,0.3076923076923077
CWE-862,True Negative Rate,1.0
CWE-119,False Positive Rate,1.0
CWE-125,False Positive Rate,0.2
CWE-190,False Positive Rate,0.0
CWE-20,False Positive Rate,0.0
CWE-269,False Positive Rate,1.0
CWE-276,False Positive Rate,1.0
CWE-362,False Positive Rate,0.5
CWE-416,False Positive Rate,0.5714285714285714
CWE-476,False Positive Rate,0.7222222222222222
CWE-787,False Positive Rate,0.6923076923076923
CWE-862,False Positive Rate,0.0
CWE-119,False Negative Rate,0.0
CWE-125,False Negative Rate,0.9
CWE-190,False Negative Rate,0.5
CWE-20,False Negative Rate,1.0
CWE-269,False Negative Rate,0.0
CWE-276,False Negative Rate,0.0
CWE-362,False Negative Rate,0.0
CWE-416,False Negative Rate,0.5714285714285714
CWE-476,False Negative Rate,0.5
CWE-787,False Negative Rate,0.15384615384615385
CWE-862,False Negative Rate,1.0
